store_nbr,store_name,latitude,longitude
"3,511",HAYDEN ID,47.748972,-116.793356
965,TOMAH WI,44.021024,-90.508577
"1,495","HUBER HEIGHTS, OH",39.863344,-84.098202
"5,889","DALLAS (WEBB CHAPEL), TX",32.862217,-96.856976
"4,479","PERRYSBURG, OH",41.550286,-83.593465
212,NORMAN OK,35.221648,-97.481111
"4,232","PHOENIX (P.V.), AZ",33.596146,-111.978633
"2,950","PALMDALE (EAST), CA",34.556809,-118.042273
"2,581","CAMILLUS, NY",43.037822,-76.272331
"2,480","HONESDALE, PA",41.557242,-75.226492
"1,104",INVERNESS FL,28.857739,-82.392594
"2,354","ROCHESTER HILLS, MI",42.643469,-83.198263
"3,965",CARTHAGE TX FORMER 523,32.1613,-94.37002
669,DALTON GA,34.767718,-84.930049
"4,285","CLEVELAND (SW), OH",41.461581,-81.692713
"1,019",CANON CITY CO,38.448662,-105.191452
"1,680",MIAMI FL,25.685314,-80.448545
"1,823",HANOVER PA,39.823502,-76.975102
"1,762",SEABROOK NH,42.894733,-70.866458
"2,196","PORT ANGELES, WA",48.111047,-123.362177
"2,798",PCCC CURRENTLY BEING REVIEWED,38.870337,-76.846594
"4,244","PARK RAPIDS, MN",46.925379,-95.033631
982,OWATONNA MN,44.097947,-93.249777
"1,279",HOUSTON TX,29.918005,-95.415615
"1,524","CHESTER, VA",37.350273,-77.482847
"5,458",DELTA CO,38.749201,-108.054131
"2,588","NORTH VERSAILLES, PA",40.387312,-79.824756
356,AUBURN AL,32.570709,-85.496576
"1,938","BEDFORD PARK, IL",41.765537,-87.745495
"2,585","STRATFORD, CT",41.201415,-73.118832
"5,872","DESTIN (E), FL",30.377057,-86.288891
"5,266","NEW PORT RICHEY(NW),FL",28.340611,-82.696041
"4,350","KILMARNOCK, VA",37.727119,-76.385093
"2,765",LOS FRESNOS TX,26.074583,-97.491285
"1,184","STONE MOUNTAIN, GA",33.824811,-84.125892
"5,779","DAHLGREN, VA",38.351997,-77.057343
825,STANFORD KY,37.549052,-84.647999
"1,775","LEBANON, OR",44.516743,-122.900769
"5,276","PALATINE, IL",42.137857,-88.017849
667,TULLAHOMA TN,35.389876,-86.239933
"3,288","BATON ROUGE, LA",30.541743,-91.025189
595,HARLINGEN TX,26.180679,-97.716961
"2,253","EL CAJON (E), CA",32.822626,-116.901748
"5,409",ENGLEWOOD OH,39.856547,-84.334984
"1,836",ADRIAN MI,41.872722,-84.031302
"3,996","WHITEHALL, PA FORMER 2145",40.644019,-75.488437
504,GALVESTON TX,29.264997,-94.833052
"1,724",MILLERSBURG OH,40.533463,-81.919583
"1,745",RICHMOND IN,39.826734,-84.853242
"2,537","REDDING, CA",40.583947,-122.343245
"2,062","BENTON HARBOR, MI",42.077237,-86.425321
"2,663","EBENSBURG, PA",40.475399,-78.750382
"2,630","JESUP, GA",31.615935,-81.871807
"1,454",QUINCY IL,39.938168,-91.332345
317,VANDALIA IL,38.966416,-89.135017
867,SCOTTSBLUFF NE,41.879697,-103.678912
"3,477",LONG BEACH CA,33.829419,-118.090633
"1,613",HIGH POINT NC,35.925361,-79.988961
"5,164","NORWALK, CA",33.918319,-118.082863
"1,066",PASCAGOULA MS,30.386629,-88.518673
"1,067",HALLETSVILLE TX,29.458551,-96.938003
"2,244",HUNTINGTON WV,38.407133,-82.375315
"1,667",WABASH IN,40.819125,-85.835612
"1,531",CARPENTERSVILLE IL,42.119505,-88.261654
"1,447",SUPERIOR WI,46.694534,-92.106919
"2,546","ORANGE, CA",33.828035,-117.838564
59,JOPLIN MO,37.072913,-94.472943
"4,382","MCCOOK, IL",41.803277,-87.836724
"2,668","RACINE, WI",42.694387,-87.866846
"2,769",SAN ANTONIO WALZEM & PARKCREST,29.507618,-98.374952
247,HENRYETTA OK.,35.438836,-95.974448
333,BEAVER DAM KY,37.429567,-86.880124
"1,832","CATHEDRAL CITY, CA",33.813101,-116.487012
"2,827","CORALVILLE, IA",41.697598,-91.612425
"4,681","TAMPA (GANDY), FL",27.891219,-82.516223
393,JACKSON TN/BEMIS,35.551312,-88.810812
"1,973","JAMESTOWN (LAKEWOOD), NY",42.097011,-79.299923
"2,016","COLVILLE, WA",48.553747,-117.915156
"2,786",AVON IN,39.766272,-86.354789
"1,928","FLINT, MI",42.999723,-83.764482
"3,572",PEARLAND TX 11-12-02,29.558086,-95.382654
22,PRYOR OK,36.262553,-95.329971
657,COOKEVILLE TN,36.145067,-85.497052
"3,975",AMHERST NY FORMER 2210,42.98196,-78.81213
"2,099","PASO ROBLES, CA EF",35.612465,-120.681713
"5,672",LUCAS TX,33.088503,-96.618667
"5,252",LOGANVILLE GA,33.840987,-83.911137
"5,932","PEMBROKE PINES, FL",26.005314,-80.318302
590,BENBROOK TX/FT WORTH,32.664578,-97.405724
476,GATESVILLE TX,31.425342,-97.712921
"5,231","GALT, CA",38.289693,-121.304693
"1,818",AURORA (W) IL,41.765777,-88.368311
"4,407","MONTGOMERY (E), AL",32.354805,-86.135007
"5,055","NAPLES (SE), FL",26.148837,-81.689112
101,ROLLA MO,37.937606,-91.779138
"1,785",HUDSON NH,42.727703,-71.422502
95,DESLOGE MO,37.883974,-90.513279
"1,080",JOHNSON CITY TN,36.359431,-82.398883
"2,931","FRUITLAND, MD",38.328333,-75.610436
"2,367","PINE CITY, MN",45.817419,-92.976943
"2,112","SCOTTSDALE, AZ",33.507771,-111.889315
"3,910","MOUNT VERNON, WA FORMER 2596",48.4397,-122.339
698,CLEVELAND TN,35.202144,-84.848736
556,WAYCROSS GA,31.197949,-82.321061
254,OLNEY IL.,38.749971,-88.097805
